abstention_rate,accuracy,boundary_exact,candidate_exact,cohort,counterfactual_pair_exact,curvature_gradient_mean_abs,curvature_proxy_mean,curvature_proxy_negative_fraction,data_seed,effective_action_mae,effective_batch_size,event_chain_exact,event_selection_overflow_rate,event_spectral_effective_rank,event_spectral_entropy,event_spectral_gap,event_spectral_world_diversity,event_world_direct_path_coverage,event_world_path_coverage,examples,geodesic_closure_non_degradation_rate,inference_seconds,measured_action_accuracy,measured_boundary_accuracy,measured_cone_accuracy,measured_event_exact,measured_terminal_accuracy,measured_transport_accuracy,model,optimization_seed,payload_conservation_residual,program_event_precision,program_event_recall,selected_event_recall,source_accuracy,supported_accuracy,typed_conservation_residual,unsupported_error_rate,unsupported_examples,world_geometry_diversity,world_usage_entropy
0.0,0.48214285714285715,,,hop_32,0.0,,,,16301,,,,,,,,,,,56.0,,0.2700037650001832,,,,,,,direct_transformer,12011,,,,,,0.48214285714285715,,0.0,0.0,,
0.0,1.0,1.0,1.0,context_128_hop_4,1.0,0.02057962343096733,-0.9546555638313293,0.849265193939209,16301,0.006504362635314465,8.0,1.0,0.0,4.827520561218262,0.6759838342666626,0.3770124316215515,0.23034044802188874,1.0,1.0,40.0,1.0,1.3314197069998954,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6525570154190063,0.7163635492324829
0.075,0.4,,,context_128_hop_4,0.1,,,,16301,,,,,,,,,,,40.0,,0.04306669500010685,,,,,,,direct_transformer,12011,,,,,,0.4,,0.0,0.0,,
0.0,1.0,1.0,1.0,context_256_hop_4,1.0,0.014692910574376583,-0.9617347478866577,0.8620835185050965,16301,0.008236255683004855,8.0,1.0,0.0,5.593198490142822,0.800944721698761,0.4244712829589844,0.1664872646331787,1.0,1.0,40.0,1.0,1.773009729000023,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6668218612670899,0.6989441514015198
0.0,0.575,,,context_256_hop_4,0.25,,,,16301,,,,,,,,,,,40.0,,0.07347726599982707,,,,,,,direct_transformer,12011,,,,,,0.575,,0.0,0.0,,
0.525,0.45,0.45,1.0,context_512_hop_4,0.4,0.013943898491561413,-0.9584023356437683,0.8716034531593323,16301,0.015127609297633172,8.0,1.0,0.0,3.814363431930542,0.5851032555103302,0.06216666623950005,0.11082058176398277,1.0,1.0,40.0,1.0,3.334653220999826,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,0.45,0.0,0.0,0.0,0.6492944240570069,0.7016804337501525
0.0,0.525,,,context_512_hop_4,0.05,,,,16301,,,,,,,,,,,40.0,,0.0896252560000903,,,,,,,direct_transformer,12011,,,,,,0.525,,0.0,0.0,,
0.3,0.675,0.525,1.0,context_768_hop_4,0.45,0.014319014642387629,-0.9601577043533325,0.8746443927288056,16301,0.01813557483255863,4.0,1.0,0.0,3.1627199053764343,0.4741468794643879,0.05683275163173677,0.09917333573102952,0.996875,1.0,40.0,1.0,6.064482283999951,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,0.675,0.0,0.0,0.0,0.6331774890422821,0.7031777739524842
0.0,0.525,,,context_768_hop_4,0.05,,,,16301,,,,,,,,,,,40.0,,0.21146947800025373,,,,,,,direct_transformer,12011,,,,,,0.525,,0.0,0.0,,
0.075,0.9,0.8,1.0,context_512_hop_24,0.8,0.011363590322434901,-0.9682168126106262,0.8695135116577148,16301,0.06475341509406765,8.0,1.0,0.0,37.85684051513672,0.9147091746330261,0.08570762425661087,0.5619696736335754,0.7791666666666667,1.0,40.0,1.0,7.475505061999684,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.6568360090255737,0.7696725726127625
0.0,0.475,,,context_512_hop_24,0.0,,,,16301,,,,,,,,,,,40.0,,0.12541099500003838,,,,,,,direct_transformer,12011,,,,,,0.475,,0.0,0.0,,
0.0,1.0,0.975,1.0,context_768_hop_24,1.0,0.012482018675655127,-0.9634903252124787,0.8729180634021759,16301,0.06323715237279733,4.0,1.0,0.0,35.91945915222168,0.8896028280258179,0.11088524758815765,0.6880889713764191,0.840625,1.0,40.0,1.0,12.935631925000052,1.0,1.0,1.0,1.0,1.0,1.0,native_ergt,12011,2.384185791015625e-07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6548310101032258,0.7643911659717559
0.0,0.5,,,context_768_hop_24,0.0,,,,16301,,,,,,,,,,,40.0,,0.3212313490002998,,,,,,,direct_transformer,12011,,,,,,0.5,,0.0,0.0,,
