cohort,curvature_gradient_mean_abs,curvature_proxy_mean,data_seed,example_id,hops,intervention,optimization_seed,spectral_effective_rank,spectral_entropy,spectral_gap,tokens
train_id,0.005143952090293169,-0.14458510279655457,16301,train_hop_1_boundary_deficit:ergt43_pair_283260017_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.0035844161175191402,-0.16489990055561066,16301,train_hop_1_geodesic_action:ergt43_pair_263080012_cf1,1,full,12011,1.0,0.0,2.0,51
train_id,0.004682614468038082,-0.12855246663093567,16301,train_hop_1_memory_source_condition:ergt43_pair_313530010_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.0067132143303751945,-0.15169329941272736,16301,train_hop_1_terminal_mass:ergt43_pair_303440002_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.005425239447504282,-0.12332892417907715,16301,train_hop_1_geodesic_action:ergt43_pair_263080003_cf0,1,full,12011,1.0,2.9262320173852226e-15,2.0,51
train_id,0.0062562464736402035,-0.13779431581497192,16301,train_hop_1_terminal_mass:ergt43_pair_303440008_cf0,1,full,12011,1.0,0.0,2.0,51
train_id,0.0054916818626224995,-0.10838818550109863,16301,train_hop_1_terminal_mass:ergt43_pair_303440021_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.005583183839917183,-0.1453600525856018,16301,train_hop_1_memory_source_condition:ergt43_pair_313530011_cf1,1,full,12011,1.0,2.9262320173852226e-15,2.0,51
train_id,0.005909853149205446,-0.138936847448349,16301,train_unsupported:ergt43_pair_163040005_cf0,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.005036619491875172,-0.14811526238918304,16301,train_unsupported:ergt43_pair_163040005_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.004307076800614595,-0.15543341636657715,16301,train_unsupported:ergt43_pair_163040006_cf1,1,full,12011,1.0,2.9262320173852226e-15,2.0,51
train_id,0.005404943600296974,-0.14299362897872925,16301,train_unsupported:ergt43_pair_163040006_cf0,1,full,12011,1.0,1.1064242936149578e-15,2.0,51
train_id,0.0031403438188135624,-0.12339095026254654,16301,train_unsupported:ergt43_pair_163040004_cf1,1,full,12011,1.0,0.0,2.0,51
train_id,0.00416439026594162,-0.15131771564483643,16301,train_unsupported:ergt43_pair_163040004_cf0,1,full,12011,1.0,0.0,2.0,51
validation,0.006670183036476374,-0.1476239711046219,16301,validation:ergt43_pair_165120036_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,35
validation,0.0063006519339978695,-0.10550694167613983,16301,validation:ergt43_pair_165120036_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.004848490469157696,-0.13893164694309235,16301,validation:ergt43_pair_165120052_cf1,1,full,12011,1.0,3.688080978716526e-16,2.0,35
validation,0.004564033355563879,-0.1719193458557129,16301,validation:ergt43_pair_165120052_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.006745973601937294,-0.1403476446866989,16301,validation:ergt43_pair_165120074_cf1,1,full,12011,1.0,1.3442188409194724e-15,2.0,35
validation,0.005972019862383604,-0.11490271240472794,16301,validation:ergt43_pair_165120074_cf0,1,full,12011,1.0,9.754107430478198e-16,2.0,35
validation,0.007517712656408548,-0.1747661530971527,16301,validation:ergt43_pair_165120097_cf0,1,full,12011,1.0,3.688080978716526e-16,2.0,35
validation,0.008745130151510239,-0.15267576277256012,16301,validation:ergt43_pair_165120097_cf1,1,full,12011,1.0,9.754107430478198e-16,2.0,35
validation,0.006457202602177858,-0.1365049034357071,16301,validation:ergt43_pair_165120007_cf1,1,full,12011,1.0,1.213205184473216e-15,2.0,35
validation,0.005630571395158768,-0.1275218427181244,16301,validation:ergt43_pair_165120007_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.004502980969846249,-0.12457122653722763,16301,validation:ergt43_pair_165120026_cf1,1,full,12011,1.0,0.0,2.0,35
validation,0.004260171204805374,-0.151023268699646,16301,validation:ergt43_pair_165120026_cf0,1,full,12011,1.0,1.4631160086926113e-15,2.0,35
validation,0.009226572699844837,-0.14776882529258728,16301,validation:ergt43_pair_165120076_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.007306638173758984,-0.19053936004638672,16301,validation:ergt43_pair_165120076_cf1,1,full,12011,1.0,0.0,2.0,35
validation,0.003985528368502855,-0.20876885950565338,16301,validation:ergt43_pair_165120012_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.003712303237989545,-0.15865173935890198,16301,validation:ergt43_pair_165120012_cf1,1,full,12011,1.0,0.0,2.0,35
validation,0.005374767817556858,-0.1605602204799652,16301,validation:ergt43_pair_165120078_cf1,1,full,12011,1.0,3.688080978716526e-16,2.0,35
validation,0.005772564094513655,-0.16334034502506256,16301,validation:ergt43_pair_165120078_cf0,1,full,12011,1.0,7.376161957433052e-16,2.0,35
validation,0.006596038118004799,-0.1705877035856247,16301,validation:ergt43_pair_165120023_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,35
validation,0.008408108726143837,-0.16938890516757965,16301,validation:ergt43_pair_165120023_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.008988709188997746,-0.1257641464471817,16301,validation:ergt43_pair_165120051_cf0,1,full,12011,1.0,1.3442188409194724e-15,2.0,35
validation,0.006322870962321758,-0.13680727779865265,16301,validation:ergt43_pair_165120051_cf1,1,full,12011,1.0,1.3442188409194724e-15,2.0,35
validation,0.006823743227869272,-0.15570306777954102,16301,validation:ergt43_pair_165120057_cf1,1,full,12011,1.0,1.1064242936149578e-15,2.0,35
validation,0.006514969281852245,-0.1435977965593338,16301,validation:ergt43_pair_165120057_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.005801795981824398,-0.1278841197490692,16301,validation:ergt43_pair_165120040_cf1,1,full,12011,1.0,0.0,2.0,35
validation,0.0060045793652534485,-0.15522229671478271,16301,validation:ergt43_pair_165120040_cf0,1,full,12011,1.0,2.9262320173852226e-15,2.0,35
validation,0.005170171614736319,-0.13484486937522888,16301,validation:ergt43_pair_165120092_cf1,1,full,12011,1.0,0.0,2.0,35
validation,0.004614518489688635,-0.10762494057416916,16301,validation:ergt43_pair_165120092_cf0,1,full,12011,1.0,0.0,2.0,35
validation,0.0073096854612231255,-0.14600056409835815,16301,validation:ergt43_pair_165120058_cf1,1,full,12011,1.0,9.754107430478198e-16,2.0,35
validation,0.009035998955368996,-0.14415034651756287,16301,validation:ergt43_pair_165120058_cf0,1,full,12011,1.0,1.713026938791125e-15,2.0,35
